news,summary
"BRUSSELS (Reuters) - The European Union and six former Soviet republics, including Ukraine, agreed a joint summit declaration on Friday that aims to help bring the countries closer to the West, overcoming Kiev s objections, two EU officials said.  It s been agreed,  one official said as leaders from EU member states and from Ukraine, Belarus, Moldova, Georgia, Armenia and Azerbaijan met for talks in Brussels. ",Ukraine agrees to sign EU summit declaration: officials
"(Reuters) - Legislation to allow Michigan gun owners to carry a concealed handgun without a permit was approved in the state House of Representatives on Wednesday, in a move that follows the lead of a dozen other states. The package of four bills, which cleared the Republican-controlled House with support from a handful of Democrats, now moves to the Senate, also dominated by Republicans.  It was not immediately clear whether Michigan’s Republican Governor Rick Snyder supports the bill. But the measure, if also approved in a Senate vote, could automatically become law 14 days after reaching the governor’s desk unless he vetoes it. The legislation would lift a requirement that handgun owners obtain a concealed pistol license with a $100 fee to legally carry the weapon in public.  Handgun owners also would be allowed carry a concealed pistol in public without the firearms training that is currently mandated.  Advocates framed the issue as upholding a U.S. constitutional right to bear arms. “We all know criminals are not paying fees, taking classes and waiting for approval to come in the mail before they begin carrying guns,” Michigan state Representative Michele Hoitenga, sponsor of the bill, said in a statement.  The legislation “levels the playing field for honest people,” she said. Opponents of the bill criticized it as dangerous. Twelve other U.S. states already allow gun owners to carry their weapons without a concealed-carry permit, according to the Law Center to Prevent Gun Violence. Most are conservative-leaning with Republican-majority legislatures but Vermont, where Democrats control the statehouse, is among the 12. “The states that have eliminated the permit requirement are basically making it easier to carry a gun in public than drive a car,” said Hannah Shearer, a staff attorney with the San Francisco-based Law Center to Prevent Gun Violence. Legislation introduced in the U.S. Congress this year would, if approved and signed by President Donald Trump, require all states to allow firearm owners to carry their guns under the regulations of their home state, even if visiting elsewhere. For instance, a person allowed to carry a concealed firearm without a permit in North Dakota could do so when visiting California or New York state, where permits are required, Shearer said. ",Michigan state House approves carrying concealed guns without permit
"(Reuters) - Hillary Clinton said on Tuesday she was on the path to victory in the 2016 presidential election until late interference by Russian hackers and FBI Director James Comey scared off some potential supporters. In her most extensive public comments on the Nov. 8 election, Clinton told a New York conference she was derailed by Comey’s Oct. 28 letter informing Congress the Federal Bureau of Investigation had reopened a probe of her use of a private email server and by the WikiLeaks release of campaign chairman John Podesta’s emails, allegedly stolen by Russian hackers. “If the election had been on October 27, I would be your president,” she told a women’s conference moderated by CNN’s Christiane Amanpour. “It wasn’t a perfect campaign, but I was on the way to winning until a combination of Comey’s letter and Russian WikiLeaks,” the Democrat said of the loss to Republican Donald Trump. “The reason why I believe we lost were the intervening events in the last 10 days.” Clinton, who said she is going through the “painful process” of writing a book dealing in part with the election, also said misogyny played a role in her defeat. Becoming the first woman U.S. president would have been “a really big deal,” she said. Clinton took personal responsibility for the campaign’s mistakes, but did not question her strategy or her staff. “I was the candidate, I was the person who was on the ballot. I am very aware of the challenges, the problems, the shortfalls that we had,” Clinton said. She said she had no doubt that Russian President Vladimir Putin tried to influence the election for Trump, and bluntly criticized the new U.S. president for some of his foreign policy views and for tweeting too much. “I’m back to being an activist citizen - and part of the resistance,” she said. Clinton said broader negotiations involving China and other countries in the region were critical for convincing North Korea to rein in its nuclear program. She questioned Trump’s recent suggestion he would be willing to meet with North Korean leader Kim Jong Un under the right circumstances. “You should not offer that in the absence of a broader strategic framework to try to get China, Japan, Russia, South Korea, to put the kind of pressure on the regime that will finally bring them to the negotiating table,” Clinton said. She also said she supported the recent missile strikes ordered by Trump in Syria but was unsure if they would make a difference. “There is a lot that we don’t really yet fully know about what was part of that strike,” she said. ","Clinton says Comey's letter, Russian hackers cost her the election"
"SEOUL (Reuters) - South Korea will provide additional financial support for companies that formerly operated at the now shut-down Kaesong industrial complex inside North Korea, Seoul s Ministry of Unification said on Friday. The ministry said financial support would total 66 billion won ($59.06 million) for 174 companies that had been affected by the closing of the complex in February last year after South Korea pulled out of the joint venture in response to the North s nuclear and missile tests.  The government created this support plan to boost government responsibility for Kaesong industrial complex companies and firms involved in inter-Korean business that faced unexpected difficulties after sudden government policy changes,  said Vice Unification Minister Chun Hae-sung in a media briefing. The latest tranche of government aid for Kaesong companies comes on top of the 517.3 billion won that has been awarded since the closure of the zone in February last year. Businesses have lodged complaints the government had not done enough to help them after the shutdown. Their frustration grew after North Korea s state-run websites said in October local workers were operating in the district, saying it was exercising its national sovereignty in the area. Seoul at the time said North Korea shouldn t violate property rights of South Korean businesses operating in the zone. On Friday, North Korean website Uriminzokkiri repeated Pyongyang s stance, saying that South Korea had no grounds to protest as the Kaesong territory has long been declared  a military controlled zone . South Korean companies have sought permission from authorities in Seoul to visit the complex, which has not yet been granted. Businesses remain split on whether they will accept the government s latest decision to provide financial aid, Chun said, with some accepting and others seeking more support.  We hope this will be a cause (for businesses) to start anew, that all conflicts (with the South Korean government) over this support issue will be relieved through this round of aid,  said Chun, also stating Friday s decision did not mean inter-Korean business efforts were restarting. ",South Korea says will provide financial support for Kaesong firms
"WASHINGTON (Reuters) - A decision by Mitsubishi UFJ Financial Group Inc (MUFG) to shift its U.S. banks from state regulators to a federal bank regulator is garnering scrutiny from a pair of U.S. Democratic senators. Senators Elizabeth Warren and Chris Van Hollen sent a letter to the Office of the Comptroller of the Currency on Monday, pressing for details on the regulator’s decision to allow the bank to come under its purview, after it had sparred with New York’s banking regulator. Earlier this month, MUFG’s Bank of Tokyo-Mitsubishi UFJ Ltd branches in New York, Illinois, Texas and California were granted federal charters, allowing the bank to be regulated by the Trump administration rather than state governments. The pair said they were “disturbed” by the decision, and questioned whether the shift to a federal banking license allowed the bank to escape any investigations by the New York Department of Financial Supervision, where the company had bank branches. They also questioned the role of Acting Comptroller Keith Noreika, who previously counted MUFG as a client, in the decision. Noreika recused himself from the bank’s application for a federal charter, but the two senators are demanding additional details on that decision, and who was responsible for approving the bank’s charter instead. An OCC spokesman did not immediately respond to a request for comment. ",U.S. senators seek details on 'dubious' oversight shift by Japanese bank
"YAUCO, Puerto Rico (Reuters) - Hurricane Maria battered this quiet Puerto Rican outpost and covered it with mud, but it couldn t separate Sandra Harasimowicz from her beloved pets. She and her husband Gary Rosario said they clung to the side of a house for hours last week to save their seven dogs from a hurricane that reduced their picturesque neighborhood in Puerto Rico to a desolate mud pit. Harasimowicz, 43, a native of Poland said the couple were trapped neck-deep in water after Hurricane Maria tore into their home in the southwestern town of Yauco last Wednesday, sending them and their dogs scrambling onto a neighbor s roof to escape. The storm, which has killed at least 10 people across the U.S. territory, turned the couple s street into bed of debris-strewn silt after a nearby river burst its banks. The surging flow entered their house  like it was the end of the world,  Harasimowicz told Reuters on Monday. Trying to keep the animals close in the hurricane while holding tight to solar panels on the neighbor s roof, Harasimowicz said she watched aghast as one of the dogs jumped four times into the raging torrent that had swamped the street. Each time Rosario, who is Puerto Rican and a national guardsman, leapt in after the errant dog to haul it back to safety.  I thought I was going to lose him; he just did it because he s such an animal lover,  said Harasimowicz, whose family lives in the city of Poznan in western Poland.  I said:  That s it, I m losing the animals and I m losing my husband.  The mother of two explained how the couple had earlier stashed their eight cats on top of the kitchen cupboards to ride out the storm when the floodwaters started rising to their chins. The couple had already sent their children, aged 6 and 12, to stay with a friend nearby before Maria struck. But after failing to find a refuge for the cats and dogs, Harasimowicz said they felt they should remain there with the animals, in part because they did not believe the storm would be so severe.  Basically, we underestimated,  Harasimowicz said. Maria knocked out power and telecommunications across the island of 3.4 million, unleashing chaos and disorder that residents believe will take months from which to recover. Residents of the Yauco estate known as Urbanizacion Luchetti returned to find furniture, refrigerators and washing machines had moved around their homes in the mud bath. Floors were caked in a musty-smelling brown sludge. Furnishings were ruined.  Everyone says they want to leave here,  said neighbor Jose Velazquez, 57, reviewing the mess Maria had made of his home. At the end of the street, the rotting body of a pit bull lay on its side by a house railing, maggots teeming at its neck. Harasimowicz and Rosario returned home Wednesday night when the flooding began to recede, spending the night on top of a bunk bed with their pets. But they were horrified as the waters began rising again. Believing they had no choice in order to survive, the couple broke into a neighbor s house with a hammer so they could occupy its rooftop annex with their pets. By then, they had acquired another dog that had wandered up seeking shelter from the storm.  It was either break in or die,  said Rosario, a jovial 49-year-old who on Monday was taking stock of his ruined home and the family s gaggle of pets, all of which survived. The couple have bathed and washed their clothes in rainwater collecting on the roof, and are now planning their next move. After 12 years in Puerto Rico - seven of them in Yauco - Harasimowicz said she has had enough.  Never again,  she said.  This is over for me.  ",Couple defy Hurricane Maria on roof to save pets - lots of them
"BAGHDAD/DUBAI (Reuters) - Iran on Sunday shut its border crossings with Iraq s Kurdistan in support of measures taken by the Iraqi government to isolate the Kurdish region, the Iraqi foreign ministry said.  At the request of the Iraqi government, the Islamic Republic of Iran closed today the border crossings with the Kurdistan region of Iraq,  the Iraqi foreign ministry said in a statement in Baghdad. Earlier in the day, Iranian Foreign Ministry Spokesman Bahram Qassemi had indirectly dismissed claims these crossings were shut.  As far as I know, nothing new has happened in this area,   the Iranian Students  News Agency (ISNA) quoted him as saying. An Iranian MP Mohammad-Javad Nobandegani said Tehran did not want to publicize the closing of the border.   There is no need for explicit publicity,  the MP was quoted as saying by Iran s ILNA news agency. The closure would negatively impact residents who depend on border trade, he said, adding that  national interests sometimes require us to act this way.  Iran last month halted flights to and from Kurdish regions in northern Iraq over the independence referendum by the autonomous Kurdistan Regional Government (KRG). Tehran also carried out war games at the Kurdish border in September. Tehran fears the spread of separatism to its own Kurdish population, which is around 8 million. Iran backs Shi ite groups which have been ruling or holding key security and government positions in Iraq since the 2003 U.S-led invasion which toppled Saddam Hussein. ",Iraq says Iran has shut border with Kurdistan
"WASHINGTON (Reuters) - The Senate’s top Republican broke with President-elect Donald Trump on Monday over whether Russian hacking during the U.S. election merited closer scrutiny, a fissure between Trump and his party that appeared to grow as lawmakers pressed for a special investigation into the matter. The divide raised the possibility of enduring clashes between Trump and Republicans during his presidency over how to handle Russian President Vladimir Putin, a leader long viewed by many in the party as a calculating, untrustworthy foe but whom Trump has repeatedly praised for his leadership. “The Russians are not our friends,” Senate Majority Leader Mitch McConnell told a news conference. Calls on Sunday by two leading Republican foreign policy voices, Senators John McCain and Lindsey Graham, to investigate Russia’s hacking were buoyed on Monday by McConnell, who said Russia’s involvement needed further investigation. “Any foreign breach of our cyber security measures is disturbing, and I strongly condemn any such efforts,” McConnell said. “This simply cannot be a partisan issue.” McConnell said it “defies belief” that Republicans would be reluctant to investigate Russian actions. McConnell’s remarks contrasted with those of Trump and his staff, who scoffed at reports that the CIA had concluded the hacks and leaks of Democratic emails were carried out with the goal of helping Trump defeat Democrat Hillary Clinton. Trump said the conclusion was “ridiculous.” Some lawmakers have called for a special committee to investigate the hacking, but McConnell did not back that idea, saying he has confidence in the Senate Intelligence and Armed Services committees. Cory Gardner, a Republican, said the Russian hacking reflected the need for a permanent committee dedicated to cyber security. It was not clear how the House of Representatives would respond to the hacking and calls for investigations. House committees have not announced plans for hearings, and Republican House Speaker Paul Ryan issued a statement criticizing Russia but blasting what he termed “exploiting the work of our intelligence committee for partisan purposes.” Though congressional Republicans support a probe of Russia’s involvement in the election, they have shied away from agreeing with the CIA’s assessment that the hacks were deliberately carried out to undermine Clinton. “It’s obvious that the Russians hacked into our campaigns,” McCain said Monday in an interview with Reuters. “But there is no information that they were intending to affect the outcome of the election, and that’s why we need a congressional investigation.” Separately on Monday, one Republican and nine Democratic electors led by the daughter of the House Democratic leader, Nancy Pelosi, wrote to James Clapper, the U.S. Director of National Intelligence, requesting a briefing on the hacking reports before the Electoral College formally decides the election on Dec. 19. John Podesta, chairman of Clinton’s presidential campaign, said in a statement that the campaign supported the electors’ letter, which raises “very grave issues involving our national security.” Clapper’s office did not respond to a request for comment about the letter.   Charles Schumer, who will be the Senate Democratic leader next year, said he welcomed McConnell’s support for “a deep and thorough bipartisan investigation” with access to all relevant intelligence. Trump and his staff have repeatedly dismissed the reports as “ridiculous,” blaming them on Democrats unhappy that Trump won. “Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card,” Trump said on Twitter on Monday. “It would be called conspiracy theory!” A second tweet said, “Unless you catch ‘hackers’ in the act, it is very hard to determine who was doing the hacking. Why wasn’t this brought up before election?” White House press secretary Josh Earnest on Monday pointed to a public statement from the intelligence community in early October that concluded the hacking had been authorized by “Russia’s senior-most officials” and was aimed at sowing discord in the U.S. election.  That statement stopped short of alleging that Russia wanted to help Trump. But Earnest suggested on Monday that may have been the intent. “You didn’t need a security clearance to figure out who benefited from malicious Russian cyber activity,” Earnest said.  “The president-elect didn’t call it into question. He called on Russia to hack his opponent. He called on Russia to hack Secretary Clinton.” ",Senate Republican leader backs investigation into Russian hacking
"BUENOS AIRES (Reuters) - Argentine President Mauricio Macri s main bulwark against a comeback by his populist predecessor, Cristina Fernandez, in October s legislative elections is someone whose name is not even on the ballot. Buenos Aires Governor Maria Eugenia Vidal has been handed the role of ensuring that Macri s  Let s Change  coalition wins more votes than the list of candidates headed by Fernandez, who is running for a Senate seat in Argentina s most-populous province. Argentina s electoral list system guarantees Fernandez will get one of three Senate seats up for grabs in the Oct. 22 vote. What is really at play in the election is whether she gets enough support to pose a serious challenge in the 2019 presidential election, when Macri is expected to run for a second term.  This election is about electoral power and Cristina s ability to make a comeback. It is not about legislative power,  said Julio Burdman, head of local polling firm Observatorio Electoral, referring to the midterm vote.  Vidal is like Captain America. She was created as a super-soldier for Macri to win his war against Cristina,  he added.  An opinion poll released on Tuesday by the firm showed Vidal, 44, was more popular than Macri and holds the key to keeping Fernandez at bay in Buenos Aires. Home to about 40 percent of Argentine voters, the province is the gateway to the presidency.  Billions of dollars in potential investment and the future of Latin America s No. 3 economy hang in the balance. Investors eyeing Argentina s vast oil and mineral wealth want Macri s coalition to block any chance of his political nemesis, Fernandez, returning to the presidency in 2019.  They hope that will turn the page on the free-spending populist governments that have ruled Argentina on-and-off for seven decades since the days of Juan and Evita Peron.  Macri, a scion of a wealthy business family, has a positive image with 44.2 percent of those polled in Buenos Aires province, with Fernandez trailing at 35.1 percent, according to the Observatorio Electoral survey. Vidal, however, comfortably bests them both with 49.8 percent. Even though Fernandez is loved by millions of poor Argentines for her generous social spending, her critics say her growth-at-all-costs policies stoked inflation and distorted the economy through heavy currency controls during her 2007-2015 administrations.  Investors in Argentina s $550 billion economy are therefore focused on how many votes Fernandez and her list of congressional candidates get versus Macri s coalition. Vidal, a former welfare administrator known for her common touch with working families, has become a political juggernaut just when Macri needs her to deflect fallout out from his unpopular subsidy cuts and other fiscal tightening measures. Some 38.2 percent of respondents in the Observatorio Electoral poll said they planned to vote for the list headed by Macri ally Esteban Bullrich, a little-known former education minister. After making a series of gaffes early in the campaign, he has been accompanied by Vidal at most rallies. Fernandez s list trailed with 35.8 percent in the opinion poll. The difference was within the survey s 3.2-point margin of error. So with 7.1 percent of voters still undecided as of Friday, it is still anybody s race. Vidal is walking the province, ringing doorbells and taking to the airwaves in the campaign against Fernandez. A poll over the weekend by consultancy Elypsis showed Vidal was Argentina s most popular politician. She is especially strong in the poor, heavily populated Buenos Aires suburbs, a traditional base of Fernandez support where Macri remains relatively unpopular. Argentina s peso currency, bonds and stock market, fearing a return of the profit-killing economic distortions of the Fernandez years, recoiled in June when she announced she would run for the Senate. It is Vidal s job to make sure Fernandez s support does not grow beyond the 34 percent she got in last month s primary vote, in which she beat Bullrich by less than a percentage point. Polls have generally shown him gaining since then.  While Fernandez refuses to discuss Vidal, the governor has become the Macri camp s most vocal critic of Fernandez, chiding her for not paying attention to the struggling residents of the province she is running to represent in the Senate. Vidal s critics say she is a creation of the media, which regularly cover her neighborhood visits and town-hall meetings. The most direct exchange between Vidal and Fernandez came  after the former president alleged that free cafeterias for poor children had been closed as a reprisal measure when school teachers in the province went on strike over better pay.   I d like to tell Cristina Fernandez that we know, that we are used to her lying while campaigning,  Vidal said.  But I d ask her to leave children out of it. They are going to keep eating, strikes or no strikes.    ",Argentina's Macri deploys popular governor against Fernandez
"HONG KONG (Reuters) - Hong Kong s Chief Executive Carrie Lam warned in her maiden policy speech on Wednesday that the city faced  grave  challenges and must develop a more diversified economy, unveiling a mix of housing and tax relief policies to raise competitiveness. Hong Kong, one of the world s costliest cities, has battled rising income inequality, the slow implementation of marquee public projects, political tensions with its mainland China and a slide in its competitiveness.  In the face of competition from other economies as well as the rise of protectionism in recent years, Hong Kong is facing increasingly grave challenges. We must develop a high value-added and diversified economy,  Lam said. Hong Kong has seen its lucrative position as the world s gateway to China eroded as the mainland rapidly builds up its own ports, airlines and financial powerhouses, and opens its markets to foreign investors. Lam said she would bolster support for small and medium enterprises in the Asian financial hub by cutting company profits tax to 8.25 percent from 16.5 percent for the first HK$2 million ($256,000) of earnings. Earnings after that would be taxed at the current 16.5 percent. On Hong Kong s soaring housing prices, Lam said that despite a raft of property cooling measures, the government had  no magic wands . Lam pledged to increase land supply where possible and launch a new subsidized  starter homes  scheme to help families not eligible for cheap-rental public housing. The first phase would provide around 1,000 residential units.  Even if our housing policy has broad community support, it takes time to find land for increasing the housing supply,  conceded Lam, Hong Kong s first female leader.  Hong Kong residents are squeezed into an average living space of just 150 square feet (14 square meters) per person, and apartments are the most expensive in the world, according to a recent UBS report ranking 20 global cities including New York, London, Tokyo and Paris. Even residents with good jobs and wages have struggled to get on the property ladder.  Chinese President Xi Jinping also voiced concern over the city s property market when he visited on July 1 for the 20th anniversary of the former British colony s handover to China. Some observers felt Lam s housing initiatives were not bold enough, with local property shares giving up initial gains and closing the day down 1.8 percent.  Property shares are down because of the lack of mention of farmland conversion to build first homes. But the chief executive cannot be too specific, so the sell-off doesn t reflect the real picture,  said Nicole Wong, a property analyst with CLSA. Lam also said Hong Kong would aim to double expenditure on research and development over the next five years, to 1.5 percent of annual GDP from 0.73 percent, in a bid to bolster its sputtering tech prospects with neighboring Chinese city Shenzhen having galloped ahead in recent years. She said the government needed to be  more proactive , and to seize opportunities from China s Belt and Road push to extend trade and transport networks to Europe. She also said the city needed to better integrate with China s Guangdong province as part of a regional economic development blueprint.   Income inequality is at its highest level in over four decades in the city of 7.3 million people, stoking discontent that has seen large-scale protests in recent years over calls for more affordable housing as well as democracy. Since taking office on July 1, Lam has sought to heal social divisions amid growing tensions with China, and to forge a softer and more socially engaged leadership style than her predecessor, the staunchly pro-Beijing Leung Chun-ying. Britain returned Hong Kong to China in 1997 under a  one country, two systems  formula which guarantees wide-ranging autonomy and judicial independence not seen in mainland China. But tensions have heightened in recent years amid concern over Beijing s interference in Hong Kong, sparking large scale pro-democracy protests and some calls for outright independence from China. Lam said Hong Kong has the responsibility  to say  no  to any attempt to threaten our country s (China s) sovereignty, security and development interests,  while re-iterating that it was the  constitutional responsibility  of the government to implement new national security laws, known as Article 23.   We need to have a society that is united, harmonious and caring,  she said. ",Hong Kong leader says Asian financial hub faces 'grave' challenges
"WASHINGTON (Reuters) - Senate Democrats on Friday stepped closer to having enough votes to block a confirmation vote on President Donald Trump’s Supreme Court nominee with three more Democratic senators coming out against Neil Gorsuch for the lifetime job as a justice. Democrats are attempting use a procedural hurdle called a filibuster that requires 60 votes to allow a confirmation vote in the 100-seat U.S. Senate. Senate Republicans are hoping to vote on April 7 to confirm the conservative appeals court judge nominated by the Republican president in January.  Democratic Senators Claire McCaskill of Missouri, Richard Blumenthal of Connecticut and Brian Schatz of Hawaii came out against Gorsuch on Friday and backed a filibuster. Republicans control the Senate 52-48. But if Democrats can muster 41 votes, they would be able to sustain the filibuster. As of Friday afternoon, 36 Democrats had indicated their support for such a move. Two Democrats have said they support Gorsuch. Another two have voiced opposition to Gorsuch but have not made clear whether they would support a filibuster to block a confirmation vote.  Seven Democrats and one independent, Angus King of Maine, who usually votes with them, have not yet announced their position. If Democrats amass enough support to block a confirmation vote, it would force Republican Senate leaders to try to change the chamber’s long-standing rules and allow confirmation by a simple majority, a move backed by Trump that is sometimes called the “nuclear option.” If confirmed by the Senate to fill a vacancy created by the February 2016 death of conservative Justice Antonin Scalia, Gorsuch would reinstate the nine-seat high court’s conservative majority at a time when Republicans control Congress and the White House. McCaskill said in a statement she could not support Gorsuch because a study of his legal opinions revealed “a rigid ideology that always puts the little guy under the boot of corporations.” McCaskill is up for re-election next year in a state Trump won in the 2016 presidential election. Blumenthal, a member of the Judiciary Committee that held a four-day confirmation hearing last week and will vote on sending the nomination to the Senate floor on Monday, said in a statement Gorsuch has not been forthcoming with senators about his views on key issues, leaving his core beliefs little known.  “Instead he has evaded real answers at every turn,” Blumenthal said. “We must assume that Judge Gorsuch has passed the Trump litmus test - a pro-life, pro-gun, conservative judge.” Blumenthal said Gorsuch’s refusal to “distance himself from right-wing groups” raised questions about whether he may be “an acolyte of hard-right special interests.” Schatz said Gorsuch’s record as a judge was troubling and he had not shown he would challenge executive overreach.  “His refusal to answer questions on long-decided cases or condemn attacks on the judiciary during the hearing demonstrates that he is outside of the legal mainstream,” Schatz said.     Their statements came one day after Gorsuch won his first Democratic support, giving Republicans who control the chamber two of the eight Democratic votes they need to break a filibuster. Senators Joe Manchin of West Virginia and Heidi Heitkamp of North Dakota, Democrats who face re-election in states that voted for Trump last year, said they would vote for Gorsuch. Trump made the appointment of conservative jurists to the Supreme Court a key promise during the 2016 presidential election. Republicans have defended Gorsuch as well qualified to be a Supreme Court justice and praised his performance during the confirmation hearings.  If the filibuster is beaten, the confirmation vote itself would require a simple majority. Some Democrats have accused Republicans of “stealing” a Supreme Court seat last year when the Senate refused to consider Democratic former President Barack Obama’s nominee to replace Scalia, appellate judge Merrick Garland. ",More Democratic senators oppose Trump's U.S. Supreme Court pick
"WASHINGTON (Reuters) - Lawmakers in the U.S. House of Representatives on Wednesday debated resurrecting the stalled Yucca Mountain spent nuclear fuel dump in Nevada, a project critics say is hindered by the lack of an easy transport route. Representative John Shimkus, an Illinois Republican, has proposed draft legislation to restart the licensing of Yucca Mountain. The government has already spent billions of dollars for initial construction of the project, which has been pending since Ronald Reagan was president. Former President Barack Obama opposed Yucca and stopped its licensing process in 2010. But President Donald Trump’s proposed 2018 budget provides $120 million to restart licensing and for development of interim nuclear waste sites until Yucca can be completed. More details about the Trump administration’s support of Yucca could come when a broader budget is released in May. Currently, spent nuclear fuel, which can be deadly if left unshielded, is stored at reactors across the country, first in cooling ponds and then in thick casks.  The Yucca site itself, about 100 miles (160 km) northwest of Las Vegas, faces a cumbersome and costly licensing process that could take years to complete and questions from critics about how long spent fuel can remain without radiation leaking into an aquifer. Yucca supporters say there is little groundwater at the desert site and what is there is contained by barriers and does not flow to any river or drinking water supply. An even trickier problem will be getting the spent fuel to Yucca Mountain safely by train and truck from nuclear reactors sites all across the country. “Transportation is the Achilles heel of the Yucca Mountain repository site,” said Bob Halstead, the head of Nevada’s agency for nuclear projects.  One train route studied by the Department of Energy, known as Caliente, has been at least partially blocked by Obama’s 2015 designation of a national monument called Basin and Range. Another route, known as Mina, is opposed by the Walker River tribe, which withdrew permission in 2007 for the government to ship waste through its reservation. Many casino owners and gaming associations also oppose the transport of spent nuclear fuel near the city of Las Vegas, saying publicity about the shipments could harm property values and tourism. The federal Nuclear Regulatory Commission has pointed out that nuclear waste has been transported safely in the country for more than 40 years, which Yucca backers are quick to cite. Shimkus, whose state of Illinois has more reactors than any other, says Yucca is ideal because of its remoteness. There are no nuclear power reactors in Nevada, and the state’s entire Congressional delegation, which includes members of both parties, opposes Yucca.  Representative Jacky Rosen, a Nevada Democrat, said a major accident would harm human health, cost hundreds of millions of dollars in cleanup costs, and damage the Las Vegas economy.   “Do you honestly believe that shipping over 5,000 truck casks of high-level nuclear waste over a span of 50 years won’t result in at least one radiological accident?” Rosen said at the hearing.  The bill contains a measure directing the energy secretary to consider routes avoiding Las Vegas. But the provision is unenforceable under existing laws, Halstead said. Nevada Governor Brian Sandoval, a Republican, met with Energy Secretary Rick Perry in Washington on Wednesday. Sandoval said he reiterated his opposition to Yucca and urged Perry to explore a “realistic, safe alternative,” to the U.S. nuclear waste problem. ",U.S. lawmakers push Yucca nuclear dump facing transport crunch
"LOS ANGELES/WASHINGTON (Reuters) - The union-backed “Fight for $15” movement protested at Carl’s Jr and Hardee’s restaurants on Thursday in a bid to stop the chains’ head, a vocal opponent of minimum wage increases and “overregulation,” from becoming U.S. labor secretary. Senate leadership has pushed back the confirmation hearing of Andrew Puzder to February from a tentative date of Jan. 17.  Puzder, 66, leads CKE Restaurants Inc. For years, he has said Obama administration policies have saddled industry with higher costs and contributed to a “government-mandated restaurant recession.”        An enthusiastic supporter of President-elect Donald Trump, Puzder has spoken against efforts to raise the minimum wage to $15 and is widely expected to roll back policies such as those aimed at curbing unpaid overtime and improving worker safety. The four-year-old “Fight for $15” movement has helped win big minimum wage hikes in California and New York. It also seeks to unionize restaurant workers. The restaurant industry is the biggest U.S. employer of minimum wage workers, and CKE’s restaurants, like many others, have been cited or sued for violating wage and safety rules. “If Puzder is confirmed as labor secretary, it will mean the Trump years will be about low pay ... instead of making lives better for working Americans like me,” said Terrance Dixon, 32, who makes $9 per hour at a St. Louis Hardee’s.       Puzder was unavailable for comment. He recently resigned from the International Franchise Association’s board. That industry group represents companies like CKE and McDonald’s Corp and has urged its 15,000 members to lobby on Puzder’s behalf.     “These protests distract from the real issues at hand for our nation’s leaders – how to create economic growth at all levels, which is the only real solution to income inequality in America,” said Matt Haller, IFA’s senior vice president of public affairs.       Senate Democrats including Elizabeth Warren of Massachusetts held a hearing on Tuesday after Republican rivals rebuffed their request to bring witnesses to Puzder’s upcoming confirmation hearing.  The protestor-packed event included testimony from Laura McDonald, 51, who was a general manager at a CKE-owned Carl’s Jr restaurant in California from 1988 until 2012.  She has joined two potential California class-action wage and hour lawsuits against CKE, which during her tenure switched general managers from salaried to hourly workers. In 2004, CKE paid $9 million to settle California lawsuits claiming unpaid overtime for general managers. “When CKE made general managers into hourly employees, it set our wages so low that we had to work 47-1/2 hours a week just to earn the same money we’ve been being paid as a salary,” McDonald said.  A transition official accused Democrats of running a smear campaign and lauded Puzder as a successful businessman. Puzder opponents face stiff odds when it comes to derailing his confirmation by the Republican-controlled Senate. The last six incoming presidents made 109 Cabinet-level appointments and just six picks did not go on to win Senate approval, according to an analysis by the website FiveThirtyEight. ",Fast-food workers protest Trump's labor secretary nominee
"ADEN (Reuters) - At least six people were killed on Tuesday when a suicide car bomb ripped through a base used by a local security force in Yemen s southern port city of Aden, residents said, in an attack claimed by Islamic State. Dozens of other people, including civilians, were wounded in the attack, which occurred outside a camp used by a local security force organized by the Saudi-led coalition fighting Yemen s Houthi rebels. Islamist militants have exploited a civil war that began in 92015 to try to expand their influence and gain a foothold in the impoverished country located in the southern Arabian Peninsula, near the world s top oil exporter, Saudi Arabia. Witnesses described a huge explosion that shook the al-Mansoura district in northern Aden, destroying at least one building and shattering windows in others. A plume of smoke rose over the area. Ambulances raced to the scene to evacuate the wounded. Pictures circulating on social media showed several young men in military uniform being carried away. Residents said two suicide bombers carried out the attack. But Islamic state, which claimed responsibility for the attack, said only one bomber was involved and identified him as Abu Hajar al-Adani. The group said Adani targeted the operations room of the  apostate Security Belt , destroying it and killing and wounding all those inside it. Pictures posted on social media showed young men in military uniforms being carried away in bandages. The Security Belt was set up by the United Arab Emirates, a key member of the Saudi-led coalition that has been fighting the Iran-aligned Houthis since they advanced on Aden in 2015, forcing President Abd-Rabbu Mansour Hadi to flee to Saudi Arabia. The civil war between the Iran-aligned Houthis and the internationally recognized Hadi government has killed more than 10,000 people and displaced more than two million. The war  drags on with no sign that it will end soon. Tuesday s attack was the second of its kind in Aden this month. On Nov. 5, a car bomber blew himself up at a security checkpoint, killing 15 people and wounding at least 20. Islamic State also claimed responsibility for that assault but provided no evidence it was involved [nL5N1NB0EF]. ",At least six killed in Yemen suicide bombing claimed by Islamic State
